"","fips","year","county","Arsenic","DEHP","Nitrates","Uranium","% Fair/Poor","Physically Unhealthy Days","Mentally Unhealthy Days","% LBW","% Children in Poverty"
"114",6033,2015,"Lake",1.78121530121269,1.5,0.406546012137442,0.578392524388907,20.4,4.9,4.5,5.996822875,33.7
"115",6033,2016,"Lake",2.51267624516792,1.5,0.376333855943927,0.869914082722917,17.9,4.3,4.2,6.060011767,32.3
"116",6035,2010,"Lassen",6.06578296482681,NA,0.672234236423278,10.069387755102,NA,NA,NA,7,17
"117",6035,2011,"Lassen",7.73496577145866,NA,1.02738064619836,26.0198555956679,13.2,4.3,3.5,6.49,20.5
"118",6035,2012,"Lassen",8.16228124126363,NA,0.719836661393082,1.85589178356713,15.8,3.8,3.7,6,18.7
"119",6035,2013,"Lassen",6.85636990730761,NA,0.945360957642726,20.0356743620899,10.5,2.6,6.3,6.3,19.3
"120",6035,2014,"Lassen",2.84276953718748,NA,1.04280478821363,23.17,18.2,4.2,4.1,6.7,22.4
"121",6035,2015,"Lassen",5.34,NA,1.01731049702552,20.78,18.2,4.2,4.1,6.583793739,19.9
"122",6035,2016,"Lassen",7.42354579073309,NA,0.944557390739538,4.47832352674934,14.1,3.6,3.6,6.917086578,20.3
"123",6037,2010,"Los Angeles",2.02339930170267,1.5,1.72935638744636,4.10522282115873,22,3.8,3.8,7,21
"124",6037,2011,"Los Angeles",1.40858918220693,1.49381313066475,1.61477623842417,2.57821133822141,22.1,3.9,3.7,7.08,21.8
"125",6037,2012,"Los Angeles",1.20266706807122,1.5,1.59864866388415,4.51786324020668,22.4,3.8,3.7,7.2,24.5
"126",6037,2013,"Los Angeles",1.69488868684144,1.5,2.91944196574657,4.10833685269534,21.5,3.6,7.3,7.3,25.9
"127",6037,2014,"Los Angeles",1.58474579520013,1.5,3.39206090901425,4.73353618086785,22.4,3.8,3.7,7.3,27.3
"128",6037,2015,"Los Angeles",1.5310609111389,1.50003294713182,3.48970686100016,4.38075926995156,22.4,3.8,3.7,7.234957165,27.4
"129",6037,2016,"Los Angeles",2.29379234881728,1.5,3.28671590679812,4.53268850162299,20.6,3.9,3.6,7.189267649,26.7
"130",6039,2010,"Madera",2.34163204685039,NA,1.73484975504964,46.3194451464676,32,6.2,4.1,6,24
"131",6039,2011,"Madera",1.94630752418343,1.5,2.21608903769193,41.0847187579537,32,6.5,4.3,6.25,27
"132",6039,2012,"Madera",3.13746726137377,1.5,2.01795861574916,45.3175337763012,31.3,5.7,4.5,6.3,31.7
"133",6039,2013,"Madera",4.69850411332327,1.5,1.91924547572692,14.3903436961693,23.3,3,6.3,6.3,33.5
"134",6039,2014,"Madera",8.92750320307495,NA,1.51872987544153,47.6729258938513,31.1,4.3,4.6,6.4,35.4
"135",6039,2015,"Madera",5.43573167550648,1.5,1.48353321712183,29.6679951567678,31.1,4.3,4.6,6.368170746,32.2
"136",6039,2016,"Madera",4.91896092427699,1.5,1.23450617751838,28.7815454948465,22.8,4.5,4.2,6.393907191,30.7
"137",6041,2010,"Marin",1.02103583820759,1.5,0.278362602912754,1.48,7,2.9,2,6,7
"138",6041,2011,"Marin",1.03250329682931,1.5,0.272173467254646,0.5,7.9,3.2,2.1,6.14,8.4
"139",6041,2012,"Marin",1.02000474662515,1.5,0.36617856581378,0.67,8.1,3.4,2.3,6.4,10.9
"140",6041,2013,"Marin",1.02073462392843,1.5,0.34986027737131,2.24,6.5,2.6,6.3,6.3,10.8
"141",6041,2014,"Marin",1.02800782105308,1.5,0.297556432845106,0.66,9.7,3.4,3,6.2,10.3
"142",6041,2015,"Marin",1.0323425871505,1.5,0.409506677704745,1.64,9.7,3.4,3,6.118557568,10.3
"143",6041,2016,"Marin",1.02104064624747,1.5,0.269168666745525,0.179824561403509,10.7,3.1,3.2,6.230619042,10.1
"144",6043,2010,"Mariposa",2.77174757281553,NA,0.872889348111967,2.19700272479564,NA,NA,NA,6,17
"145",6043,2011,"Mariposa",1.64287280701754,1.5,0.69568740685544,2.99,NA,3.2,4.5,5.65,20.1
"146",6043,2012,"Mariposa",1.45351894017802,1.5,0.696416732438832,3.44689075630252,NA,3.2,3.9,5.2,22.3
"147",6043,2013,"Mariposa",3.0799649859944,NA,1.01773369699975,26.57,NA,1.7,5.1,5.1,24.3
"148",6043,2014,"Mariposa",1.77019014962594,NA,0.971816075978689,2.72559139784946,16.5,3.2,3.4,5.3,25.1
"149",6043,2015,"Mariposa",1.57469857508221,NA,0.846095512359011,0.386923076923077,16.5,3.2,3.4,6.243996158,25.5
"150",6043,2016,"Mariposa",1.61933999474099,NA,1.20834503745318,2.77002801120448,13,3.6,3.7,6.102362205,25
"151",6045,2010,"Mendocino",1.10733013054008,NA,0.575661291775516,1.14464743589744,13,3.6,3.4,6,22
"152",6045,2011,"Mendocino",1.12828528492902,NA,0.506490712712031,2.21716452742124,12.5,3.4,3.5,6.07,24.8
"153",6045,2012,"Mendocino",1.12460893410699,NA,0.56926136165767,0.826911368320913,15.9,3.7,3.5,6.3,28.6
"154",6045,2013,"Mendocino",1.18102048999559,1.5,0.257363009604272,0.414538258575198,12.4,2.7,6.3,6.3,31.4
"155",6045,2014,"Mendocino",1.26866938248699,1.5,0.27002135991456,0.59025641025641,16,4.2,4,6.2,31.4
"156",6045,2015,"Mendocino",1.74553940906529,0.3,0.291846241783367,0.858070628768303,16,4.2,4,6.070328542,28.9
"157",6045,2016,"Mendocino",1.33730032616877,1.5,0.274273322490513,0.551959764134582,17.4,4.2,4.2,5.868605557,26.2
"158",6047,2010,"Merced",4.97171113694322,1.5,4.11693152077724,1.21208706131126,25,3.9,4.2,6,26
"159",6047,2011,"Merced",5.32434547848505,1.5,4.07372990816953,8.44282882423005,26.4,3.8,4.1,6.19,28.8
"160",6047,2012,"Merced",5.11530807910395,1.5,4.02934154654683,2.38382211183576,26.8,4.1,4.4,6.3,31.4
"161",6047,2013,"Merced",4.41898895590022,1.5,4.46477782880972,0.5,18.3,3.6,6.4,6.4,35.8
"162",6047,2014,"Merced",3.13911659146359,1.5,4.51044222820025,11.49,23,4.6,4.2,6.5,35.6
"163",6047,2015,"Merced",3.8618734299877,1.5,5.26705291324071,2.88056615351778,23,4.6,4.2,6.546028271,34.1
"164",6047,2016,"Merced",4.17133100848256,1.5,3.94540605224133,4.57513970455231,22.9,4.7,4.1,6.630142379,35.9
"165",6049,2010,"Modoc",NA,NA,1.02,1.72,NA,NA,NA,6,30
"166",6049,2011,"Modoc",4.70705667276051,NA,1.31569631112382,NA,NA,NA,NA,6.06,29.8
"167",6049,2012,"Modoc",NA,NA,NA,0.5,NA,NA,NA,6.1,32.5
"168",6049,2013,"Modoc",NA,NA,0.95,NA,NA,NA,6,6,32.3
"169",6049,2014,"Modoc",NA,NA,0.23,6.82,NA,NA,NA,6.3,31.3
"170",6049,2015,"Modoc",NA,NA,1.05,NA,NA,NA,NA,6.686930091,33.4
"171",6049,2016,"Modoc",4.3,NA,1.51513497989661,4.39,16.4,4.2,4.2,6.885758998,31.3
"172",6051,2010,"Mono",3.55960948236372,1.5,0.23,1.92818555758684,NA,NA,NA,8,12
"173",6051,2011,"Mono",3.89704504094631,1.5,NA,1.17895950740973,9.7,4.4,3.6,8.78,14.2
"174",6051,2012,"Mono",5.40207387536112,1.5,0.21,19.57,8.2,4,3.6,9,15
"175",6051,2013,"Mono",2.78443064641313,NA,0.331744663382594,23.781320754717,3,1.8,8.8,8.8,16.2
"176",6051,2014,"Mono",4.23761441970844,1.5,0.0696765320717351,2.32110041265475,NA,NA,3.1,8.1,17
"177",6051,2015,"Mono",5.66863809194608,1.5,0.215416843896214,1.36721628382988,NA,NA,3.1,7.864164433,18.7
"178",6051,2016,"Mono",3.55726696115075,NA,0.27835339638865,29.5327586206897,13.9,3.6,3.6,7.943925234,16.2
"179",6053,2010,"Monterey",1.8118882435622,0.739235218508997,3.16095919420804,3.38849022905535,23,3.4,3.4,6,17
"180",6053,2011,"Monterey",1.83025137921251,0.421207518511487,3.22098268247516,2.74876880793369,21.5,3.6,3.6,5.92,18.1
"181",6053,2012,"Monterey",2.43545354915842,1.33321576871623,2.85538097912571,3.42319907013835,22.6,3.3,3.8,6,25.9
"182",6053,2013,"Monterey",2.51322982554467,1.5,3.40666566781183,6.47769165372792,18.7,2.9,5.9,5.9,24.5
"183",6053,2014,"Monterey",2.89614159524226,1.5,3.3870062442817,3.45370781434686,24,3.9,4.6,5.8,27.1
"184",6053,2015,"Monterey",3.29864813346603,1.5,3.92661537712421,6.49979297631588,24,3.9,4.6,5.761846364,24.4
"185",6053,2016,"Monterey",3.31711014805903,1.5,4.23179428283813,13.7400575736557,19.9,4.1,3.8,5.72920934,25.2
"186",6055,2010,"Napa",1.01815395549238,1.5,0.241333883149579,1.24974428997021,13,3.5,4.1,6,11
"187",6055,2011,"Napa",1.01637324099185,1.5,0.255530503371979,1.75521626497664,16,3.8,4.3,5.69,11.5
"188",6055,2012,"Napa",0.876289806084327,1.5,0.259555170249021,0.536958721452551,14.7,3.7,4.1,6,14.7
"189",6055,2013,"Napa",1.02473037993016,1.5,0.242819047771261,2.38460893854749,11.5,2.7,6.1,6.1,16.6
"190",6055,2014,"Napa",1.03561195275178,1.5,0.23354325079066,0.774268667847488,16.7,3.4,4,6.1,14
"191",6055,2015,"Napa",1.04699107749006,1.5,0.237255343271048,0.926412213740458,16.7,3.4,4,6.12244898,13.7
"192",6055,2016,"Napa",1.08563873604011,1.5,0.200394888455014,0.81906416615579,14.2,3.5,3.4,6.100674813,12
"193",6057,2010,"Nevada",1.30632871313808,NA,0.239128886482434,0.757142857142857,11,2.8,3.4,6,12
"194",6057,2011,"Nevada",1.25472267703643,1.5,0.238442211055276,0.5,10.1,2.7,2.9,6.35,13.5
"195",6057,2012,"Nevada",1.16144773394714,1.5,0.244433122662195,0.5,10.3,2.5,2.7,6.1,17.3
"196",6057,2013,"Nevada",1.09274707853972,1.5,0.256350425622712,0.5,6.7,1.8,5.9,5.9,17.4
"197",6057,2014,"Nevada",1.23474476088125,NA,0.248039506069834,1.36612291631588,9.2,3,3,5.8,17.6
"198",6057,2015,"Nevada",1.18061645314524,1.5,0.931329113924051,NA,9.2,3,3,5.789938217,17.8
"199",6057,2016,"Nevada",1.25048545168334,1.5,0.220825990167888,2.80875582168995,11.5,3.4,3.5,5.711263882,17.6
"200",6059,2010,"Orange",1.75334196197708,1.5,0.535834073893583,3.86848548646303,15,3,3.1,6,12
"201",6059,2011,"Orange",1.31243671827295,1.5,0.530141384184455,2.23968001806413,15.1,3.1,3.1,6.2,13.4
"202",6059,2012,"Orange",1.07419098165334,1.5,0.461771026431329,4.93311093862491,15.2,3.1,3.2,6.3,16.4
"203",6059,2013,"Orange",1.44609843369538,1.5,1.82790636486063,2.99816355350747,13.8,2.9,6.4,6.4,17.9
"204",6059,2014,"Orange",1.28552736333397,1.5,1.68002790548581,4.18427569087923,14.5,3.1,3.2,6.5,18
"205",6059,2015,"Orange",1.90835074827243,1.5,1.65174739304397,2.3188122307152,14.5,3.1,3.2,6.464124564,18.8
"206",6059,2016,"Orange",1.90495958190413,1.5,1.49308541899288,2.64691288052297,12.6,3.4,3.3,6.452573495,17.9
